tech_level_to_advances_1	= 1 
tech_level_to_advances_2	= 5 
tech_level_to_advances_3	= 10
tech_level_to_advances_4	= 15
tech_level_to_advances_5	= 20
tech_level_to_advances_6	= 25
tech_level_to_advances_7	= 30
tech_level_to_advances_8	= 35 
tech_level_to_advances_9	= 40 
tech_level_to_advances_10	= 45
tech_level_to_advances_11	= 50
tech_level_to_advances_12	= 55
tech_level_to_advances_13	= 60
tech_level_to_advances_14	= 65
tech_level_to_advances_15	= 70
tech_level_to_advances_16	= 75
tech_level_to_advances_17	= 70
tech_level_to_advances_18	= 85 
tech_level_to_advances_19	= 90 
tech_level_to_advances_20	= 95
tech_level_to_advances_21	= 100
tech_level_to_advances_22	= 105
tech_level_to_advances_23	= 110
tech_level_to_advances_24	= 115
tech_level_to_advances_25	= 120
tech_level_to_advances_26	= 125
tech_level_to_advances_27	= 130
tech_level_to_advances_28	= 135 
tech_level_to_advances_29	= 140
tech_level_to_advances_30	= 145
tech_level_to_advances_31	= 150
tech_level_to_advances_32	= 155
